NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.932408e-11,1.265757e-11,-6.476865e-12,3.830892e-12,-3.177153e-11,9.264398e-13,-2.337473e-11,-2.106392e-11,-5.878014e-12,1.794612e-11,-3.520386e-11,4.723765e-11,2.705586e-11,2.732488e-11,-2.079777e-11,-1.070126e-11,2.073036e-11,1.402496e-11,1.463453e-12,-3.776098e-11,2.821058e-11,1.920818e-11,3.233424e-11,2.767012e-11,2.859019e-12,3.615648e-12,1.854113e-11,-1.486384e-11,2.115617e-11,5.161285e-11,-4.367215e-12,-1.575324e-11,-2.931533e-11,-2.219227e-12,1.72543e-11,-1.229364e-11,-1.778798e-11,-2.4427e-11,-3.042102e-12,-7.151081e-12,-3.192491e-11,8.702623e-12,-2.24033e-11,4.088885e-11,1.252548e-11,1.491628e-11,-2.350795e-11,-7.788636e-12,4.127919e-11,2.861904e-11,6.605645e-12,-1.667218e-11,2.899439e-11,5.841104e-12,2.009051e-11,5.62695e-11,5.446143e-13,9.407496e-12,1.305649e-11,-1.83166e-11,-1.49308e-11,3.474205e-11,3.475709e-12,1.113156e-11,-8.534004e-12,3.337459e-11,4.676762e-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.270977e-05,-1.246033e-05,-1.214527e-05,-1.185742e-05,-1.151715e-05,-1.113079e-05,-1.065903e-05,-1.013683e-05,-9.547676e-06,-8.926903e-06,-8.261841e-06,-7.58195e-06,-6.875858e-06,-6.167475e-06,-5.446347e-06,-4.73201e-06,-4.015592e-06,-3.313732e-06,-2.619368e-06,-1.946354e-06,-1.289038e-06,-6.589901e-07,-5.229779e-08,5.212407e-07,1.064109e-06,1.568739e-06,2.03676e-06,2.462539e-06,2.846539e-06,3.185142e-06,3.478235e-06,3.724575e-06,3.923768e-06,4.076924e-06,4.183226e-06,4.246231e-06,4.264959e-06,4.245504e-06,4.186667e-06,4.096859e-06,3.974545e-06,3.830434e-06,3.662401e-06,3.48307e-06,3.289355e-06,3.095568e-06,2.897304e-06,2.710141e-06,2.527967e-06,2.367216e-06,2.219514e-06,2.101961e-06,2.003397e-06,1.941399e-06,1.901622e-06,1.901989e-06,1.92427e-06,1.98622e-06,2.06471e-06,2.176769e-06,2.292739e-06,2.427304e-06,2.542676e-06,2.656994e-06,2.745942e-06,2.872226e-06,3.04699e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.55958e-05,-4.465798e-05,-4.368984e-05,-4.263826e-05,-4.157081e-05,-4.015164e-05,-3.856895e-05,-3.663356e-05,-3.459088e-05,-3.228088e-05,-2.994065e-05,-2.740814e-05,-2.490331e-05,-2.226106e-05,-1.968904e-05,-1.702259e-05,-1.446029e-05,-1.18387e-05,-9.349602e-06,-6.832335e-06,-4.473856e-06,-2.116208e-06,5.86325e-08,2.206809e-06,4.15081e-06,6.044381e-06,7.714214e-06,9.312954e-06,1.06728e-05,1.194645e-05,1.297172e-05,1.390135e-05,1.457921e-05,1.51594e-05,1.549254e-05,1.573438e-05,1.574234e-05,1.567373e-05,1.539273e-05,1.505812e-05,1.454035e-05,1.399871e-05,1.33091e-05,1.263061e-05,1.184355e-05,1.110534e-05,1.029923e-05,9.579307e-06,8.830437e-06,8.201846e-06,7.578701e-06,7.103627e-06,6.661014e-06,6.385442e-06,6.159394e-06,6.107572e-06,6.109649e-06,6.2783e-06,6.487835e-06,6.833166e-06,7.176834e-06,7.586715e-06,7.912505e-06,8.218643e-06,8.437687e-06,8.778371e-06,9.334435e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.240541e-05,-9.06039e-05,-8.856817e-05,-8.664199e-05,-8.446562e-05,-8.17707e-05,-7.852715e-05,-7.474636e-05,-7.055727e-05,-6.599601e-05,-6.11993e-05,-5.617213e-05,-5.104074e-05,-4.578147e-05,-4.051358e-05,-3.519389e-05,-2.994117e-05,-2.469999e-05,-1.959183e-05,-1.45513e-05,-9.702084e-06,-4.970919e-06,-4.853262e-07,3.834391e-06,7.858049e-06,1.167324e-05,1.514904e-05,1.838095e-05,2.123741e-05,2.382265e-05,2.600698e-05,2.790555e-05,2.939209e-05,3.059314e-05,3.138623e-05,3.191004e-05,3.204708e-05,3.194844e-05,3.150113e-05,3.086795e-05,2.993955e-05,2.888937e-05,2.76101e-05,2.628365e-05,2.480212e-05,2.335352e-05,2.182682e-05,2.041335e-05,1.89955e-05,1.776494e-05,1.659429e-05,1.567303e-05,1.486091e-05,1.434302e-05,1.39634e-05,1.390058e-05,1.39789e-05,1.436571e-05,1.485782e-05,1.560276e-05,1.635518e-05,1.722464e-05,1.791422e-05,1.854947e-05,1.89902e-05,1.97285e-05,2.091339e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0001373067,-0.0001346531,-0.000132115,-0.0001295868,-0.000126929,-0.0001231523,-0.0001186894,-0.0001131058,-0.0001070587,-0.0001001915,-9.313399e-05,-8.550466e-05,-7.788035e-05,-6.985808e-05,-6.197915e-05,-5.3834e-05,-4.594087e-05,-3.788895e-05,-3.018076e-05,-2.240926e-05,-1.506598e-05,-7.748244e-06,-9.366244e-07,5.769002e-06,1.189798e-05,1.784684e-05,2.315493e-05,2.821848e-05,3.258988e-05,3.666805e-05,4.001961e-05,4.304697e-05,4.533256e-05,4.728547e-05,4.850611e-05,4.941134e-05,4.961982e-05,4.955626e-05,4.88575e-05,4.795575e-05,4.650449e-05,4.4941e-05,4.293301e-05,4.092025e-05,3.858161e-05,3.635515e-05,3.392638e-05,3.172679e-05,2.944433e-05,2.74991e-05,2.557722e-05,2.408258e-05,2.269558e-05,2.17993e-05,2.106465e-05,2.084822e-05,2.080686e-05,2.126199e-05,2.184494e-05,2.282027e-05,2.376532e-05,2.484907e-05,2.558512e-05,2.614964e-05,2.640376e-05,2.715431e-05,2.874919e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0001791701,-0.000176034,-0.0001731816,-0.0001709857,-0.000168284,-0.0001642279,-0.0001587869,-0.0001519776,-0.0001441769,-0.0001354548,-0.0001261725,-0.0001163135,-0.0001061928,-9.572562e-05,-8.520098e-05,-7.449379e-05,-6.388668e-05,-5.323165e-05,-4.28138e-05,-3.246808e-05,-2.248212e-05,-1.267774e-05,-3.348237e-06,5.695547e-06,1.415678e-05,2.223775e-05,2.964164e-05,3.658457e-05,4.277009e-05,4.843014e-05,5.327351e-05,5.755204e-05,6.098299e-05,6.383965e-05,6.584889e-05,6.730708e-05,6.795311e-05,6.810727e-05,6.751973e-05,6.653358e-05,6.490876e-05,6.300908e-05,6.060125e-05,5.806569e-05,5.51708e-05,5.230897e-05,4.924514e-05,4.637798e-05,4.346222e-05,4.089672e-05,3.841952e-05,3.64242e-05,3.46257e-05,3.340726e-05,3.245411e-05,3.21329e-05,3.208867e-05,3.265729e-05,3.342008e-05,3.465035e-05,3.581512e-05,3.705982e-05,3.770726e-05,3.795964e-05,3.771665e-05,3.83551e-05,4.037897e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0002053023,-0.0002021796,-0.0002009074,-0.0002007804,-0.0002003191,-0.0001974205,-0.0001926793,-0.0001855643,-0.0001772366,-0.0001672761,-0.0001567389,-0.0001450979,-0.0001332783,-0.0001206839,-0.0001081644,-9.510126e-05,-8.230303e-05,-6.914626e-05,-5.641523e-05,-4.349208e-05,-3.114461e-05,-1.876206e-05,-7.096241e-06,4.459592e-06,1.516819e-05,2.563056e-05,3.512444e-05,4.425014e-05,5.230493e-05,5.989343e-05,6.633472e-05,7.223943e-05,7.695144e-05,8.109285e-05,8.403615e-05,8.641717e-05,8.763817e-05,8.834935e-05,8.798295e-05,8.720363e-05,8.547172e-05,8.346269e-05,8.06617e-05,7.775139e-05,7.423679e-05,7.080151e-05,6.696358e-05,6.339964e-05,5.963385e-05,5.632835e-05,5.300607e-05,5.030632e-05,4.774404e-05,4.592717e-05,4.435411e-05,4.358877e-05,4.30994e-05,4.338067e-05,4.383315e-05,4.481618e-05,4.556813e-05,4.61846e-05,4.56956e-05,4.427029e-05,4.209107e-05,4.138207e-05,4.31425e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0002269529,-0.0002249587,-0.0002273296,-0.0002331075,-0.0002378067,-0.0002389688,-0.0002364983,-0.0002306954,-0.0002224543,-0.0002121092,-0.0002003871,-0.000187356,-0.0001735667,-0.0001589179,-0.0001438767,-0.0001282622,-0.0001125183,-9.642821e-05,-8.04373e-05,-6.430713e-05,-4.848617e-05,-3.272073e-05,-1.746737e-05,-2.458927e-06,1.184278e-05,2.572073e-05,3.871329e-05,5.11205e-05,6.248118e-05,7.311594e-05,8.257164e-05,9.119578e-05,9.854874e-05,0.0001050086,0.0001101521,0.0001143911,0.0001173234,0.0001193975,0.0001202318,0.0001203111,0.0001192736,0.0001176381,0.0001150593,0.0001120852,0.0001083801,0.0001045152,0.0001001574,9.589275e-05,9.138109e-05,8.721422e-05,8.303465e-05,7.943095e-05,7.601736e-05,7.336896e-05,7.105704e-05,6.962554e-05,6.857374e-05,6.836802e-05,6.835873e-05,6.881704e-05,6.875947e-05,6.801328e-05,6.514096e-05,6.016903e-05,5.384746e-05,5.033714e-05,5.143147e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0002327665,-0.0002340324,-0.0002353338,-0.0002485465,-0.0002686924,-0.0002868883,-0.0002978666,-0.0003025629,-0.0003009338,-0.0002953185,-0.0002856597,-0.0002738508,-0.0002593882,-0.0002437602,-0.0002262105,-0.0002080249,-0.0001883637,-0.0001684293,-0.0001473638,-0.000126335,-0.000104496,-8.299269e-05,-6.099308e-05,-3.962382e-05,-1.806088e-05,2.586581e-06,2.3131e-05,4.248262e-05,6.144955e-05,7.896686e-05,9.584682e-05,0.0001110547,0.000125411,0.0001379177,0.0001494142,0.000158947,0.0001673802,0.0001738098,0.0001791286,0.0001824841,0.0001848012,0.0001852789,0.0001848703,0.0001828237,0.0001801178,0.0001760435,0.0001715975,0.0001661046,0.0001605675,0.0001543346,0.0001484032,0.0001421319,0.0001364982,0.000130857,0.0001261469,0.0001216949,0.0001183629,0.0001153985,0.0001134927,0.0001116621,0.0001101719,0.0001074165,0.0001026857,9.344825e-05,7.923457e-05,6.219479e-05,5.081613e-05,4.922029e-05,5.412597e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0002427544,-0.0002443235,-0.0002549227,-0.0002943224,-0.0003476515,-0.0003935726,-0.0004255713,-0.0004449806,-0.0004534402,-0.0004537653,-0.000447144,-0.0004356435,-0.0004195938,-0.0004004131,-0.0003779097,-0.0003531865,-0.0003258455,-0.0002968966,-0.0002658759,-0.0002337892,-0.000200156,-0.0001659843,-0.000130789,-9.559086e-05,-5.989491e-05,-2.473083e-05,1.040599e-05,4.448755e-05,7.803159e-05,0.0001100111,0.0001409669,0.0001698881,0.0001973514,0.0002223757,0.0002455871,0.0002660451,0.0002844363,0.000299875,0.0003131194,0.0003233429,0.000331382,0.0003364738,0.0003395329,0.0003398599,0.0003384458,0.0003346455,0.0003295196,0.0003224682,0.0003146066,0.0003053634,0.0002958929,0.0002856306,0.0002757483,0.0002656621,0.0002565304,0.0002477006,0.000240247,0.0002333359,0.0002277621,0.0002221872,0.0002166052,0.0002083314,0.0001953117,0.0001725015,0.0001376547,9.511215e-05,6.434239e-05,5.629603e-05,6.093938e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
