NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.941032e-09,3.816559e-08,8.241499e-08,2.57546e-07,4.832577e-07,7.259492e-07,8.886275e-07,1.053247e-06,1.151352e-06,1.248748e-06,1.26194e-06,1.282578e-06,1.276059e-06,1.357175e-06,1.433511e-06,1.478209e-06,1.260809e-06,7.729741e-07,3.255449e-09,-7.717898e-07,-1.391116e-06,-1.612078e-06,-1.467904e-06,-9.155067e-07,-9.610331e-08,1.001688e-06,2.223907e-06,3.543353e-06,4.727563e-06,5.692375e-06,6.223741e-06,6.339109e-06,5.959706e-06,5.231122e-06,4.130003e-06,2.758577e-06,1.063566e-06,-7.684212e-07,-2.709254e-06,-4.577041e-06,-6.398886e-06,-7.990857e-06,-9.331328e-06,-1.030791e-05,-1.103195e-05,-1.139465e-05,-1.143321e-05,-1.100617e-05,-1.020519e-05,-9.03094e-06,-7.760103e-06,-6.409749e-06,-5.138195e-06,-3.882951e-06,-2.79476e-06,-1.742313e-06,-8.155217e-07,1.461905e-07,1.154913e-06,2.47949e-06,4.045705e-06,5.846898e-06,7.502984e-06,9.025932e-06,1.023373e-05,1.133282e-05,1.222745e-05,1.301309e-05,1.359633e-05,1.418295e-05,1.471616e-05,1.532825e-05,1.55716e-05,1.549148e-05,1.469778e-05,1.321632e-05,1.050285e-05,6.671081e-06,3.330578e-06,2.088515e-06,1.920348e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.732773e-08,1.164925e-07,3.212398e-07,1.000703e-06,1.942382e-06,2.879984e-06,3.571595e-06,4.188675e-06,4.624701e-06,4.965706e-06,5.071067e-06,5.106316e-06,5.136216e-06,5.40135e-06,5.76372e-06,5.874769e-06,5.059149e-06,3.02465e-06,-8.530063e-10,-3.182751e-06,-5.596789e-06,-6.561706e-06,-5.911538e-06,-3.77998e-06,-4.185172e-07,3.89718e-06,8.868975e-06,1.406819e-05,1.889852e-05,2.268386e-05,2.491665e-05,2.530998e-05,2.389046e-05,2.089134e-05,1.657365e-05,1.10147e-05,4.365551e-06,-3.057216e-06,-1.072996e-05,-1.830876e-05,-2.548355e-05,-3.192265e-05,-3.719444e-05,-4.121267e-05,-4.401745e-05,-4.556819e-05,-4.562079e-05,-4.401272e-05,-4.069732e-05,-3.609133e-05,-3.09125e-05,-2.565943e-05,-2.046939e-05,-1.555721e-05,-1.107131e-05,-6.99263e-06,-3.230226e-06,5.090267e-07,4.702023e-06,9.955361e-06,1.634087e-05,2.331422e-05,3.00645e-05,3.606507e-05,4.11146e-05,4.533869e-05,4.88657e-05,5.188406e-05,5.444379e-05,5.678117e-05,5.896371e-05,6.095868e-05,6.218218e-05,6.184669e-05,5.897606e-05,5.255814e-05,4.141808e-05,2.603107e-05,1.284541e-05,7.655576e-06,6.69059e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.203621e-08,2.322191e-07,7.006836e-07,2.297286e-06,4.48267e-06,6.626196e-06,8.186503e-06,9.580649e-06,1.056127e-05,1.133608e-05,1.157101e-05,1.165753e-05,1.172682e-05,1.233928e-05,1.315319e-05,1.338297e-05,1.14695e-05,6.77524e-06,-1.892218e-07,-7.485567e-06,-1.302825e-05,-1.52408e-05,-1.37745e-05,-8.906106e-06,-1.23817e-06,8.631689e-06,1.998714e-05,3.188153e-05,4.292371e-05,5.160857e-05,5.674137e-05,5.770286e-05,5.451097e-05,4.772496e-05,3.789453e-05,2.524247e-05,1.009315e-05,-6.786839e-06,-2.426614e-05,-4.151978e-05,-5.788796e-05,-7.255442e-05,-8.459554e-05,-9.376839e-05,-0.0001001981,-0.0001037268,-0.0001038455,-0.0001001472,-9.259209e-05,-8.208129e-05,-7.029617e-05,-5.832244e-05,-4.653938e-05,-3.537059e-05,-2.519685e-05,-1.590013e-05,-7.333613e-06,1.231003e-06,1.083111e-05,2.289031e-05,3.749387e-05,5.341526e-05,6.875248e-05,8.241416e-05,9.389625e-05,0.0001035539,0.0001115365,0.0001183586,0.0001241423,0.0001295238,0.0001345682,0.0001391156,0.0001418116,0.0001411106,0.0001347616,0.0001204678,9.489391e-05,5.880299e-05,2.721046e-05,1.477004e-05,1.273883e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.673165e-08,3.468636e-07,1.30783e-06,4.456665e-06,8.627546e-06,1.250261e-05,1.529577e-05,1.774577e-05,1.951282e-05,2.088186e-05,2.132467e-05,2.145425e-05,2.160351e-05,2.271361e-05,2.421654e-05,2.455361e-05,2.092847e-05,1.212724e-05,-8.018055e-07,-1.433786e-05,-2.458063e-05,-2.870362e-05,-2.600929e-05,-1.706742e-05,-2.931027e-06,1.524433e-05,3.619489e-05,5.81198e-05,7.851249e-05,9.456163e-05,0.0001041266,0.0001060106,0.0001002779,8.788619e-05,6.989479e-05,4.668541e-05,1.890124e-05,-1.208783e-05,-4.414422e-05,-7.580894e-05,-0.0001058335,-0.0001328033,-0.0001549667,-0.0001718928,-0.0001837282,-0.0001902227,-0.0001904043,-0.0001835833,-0.0001696605,-0.0001503703,-0.0001287418,-0.0001068107,-8.521962e-05,-6.48131e-05,-4.620724e-05,-2.922427e-05,-1.346188e-05,2.366648e-06,2.018245e-05,4.245558e-05,6.935739e-05,9.862268e-05,0.0001268368,0.0001518749,0.0001728862,0.0001904615,0.0002051075,0.0002176722,0.0002283499,0.000238199,0.0002474506,0.0002560561,0.0002615927,0.0002610658,0.000250519,0.000225768,0.0001803246,0.000112439,4.85755e-05,2.199002e-05,1.766432e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.32758e-08,4.982466e-07,2.444185e-06,8.344782e-06,1.535988e-05,2.140044e-05,2.564349e-05,2.937011e-05,3.210849e-05,3.422189e-05,3.491446e-05,3.508899e-05,3.536075e-05,3.715908e-05,3.959244e-05,3.997938e-05,3.383791e-05,1.914955e-05,-2.218416e-06,-2.454108e-05,-4.136505e-05,-4.817364e-05,-4.376827e-05,-2.916066e-05,-5.996529e-06,2.376288e-05,5.810265e-05,9.400769e-05,0.0001274625,0.0001538237,0.0001696635,0.0001729554,0.000163837,0.0001437665,0.0001145047,7.666439e-05,3.142731e-05,-1.903925e-05,-7.124248e-05,-0.0001228684,-0.0001718243,-0.0002158188,-0.0002520201,-0.0002797494,-0.000299136,-0.00030975,-0.0003099693,-0.0002987644,-0.0002760005,-0.0002445648,-0.000209344,-0.0001736981,-0.0001386441,-0.000105573,-7.538682e-05,-4.779042e-05,-2.207959e-05,3.870488e-06,3.322617e-05,6.987929e-05,0.0001140084,0.0001617116,0.0002076103,0.0002483146,0.0002825632,0.000311205,0.0003348823,0.0003551758,0.0003726451,0.0003890774,0.0004047609,0.0004192225,0.0004292388,0.0004306327,0.0004177536,0.0003840681,0.0003169802,0.0002060925,8.598722e-05,3.010724e-05,2.170607e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.612925e-08,7.714419e-07,4.952298e-06,1.522522e-05,2.555123e-05,3.373102e-05,3.941221e-05,4.446242e-05,4.830059e-05,5.126586e-05,5.225951e-05,5.245453e-05,5.288126e-05,5.556451e-05,5.91581e-05,5.948801e-05,4.988736e-05,2.743996e-05,-4.920856e-06,-3.854745e-05,-6.382936e-05,-7.403176e-05,-6.744763e-05,-4.554134e-05,-1.085584e-05,3.37588e-05,8.519545e-05,0.0001390218,0.0001891369,0.000228755,0.0002526586,0.0002579406,0.0002446272,0.0002149564,0.0001714085,0.0001150879,4.762602e-05,-2.750979e-05,-0.0001052781,-0.0001820852,-0.0002550405,-0.0003206359,-0.0003747891,-0.0004162419,-0.0004452711,-0.0004610196,-0.0004612932,-0.0004444124,-0.0004104603,-0.0003636281,-0.0003113406,-0.0002583539,-0.0002064336,-0.0001574439,-0.0001128566,-7.190938e-05,-3.355896e-05,5.51754e-06,4.971263e-05,0.0001047848,0.0001706973,0.0002420033,0.0003103536,0.0003708779,0.0004214868,0.000463852,0.0004991018,0.0005295452,0.0005556211,0.0005802187,0.0006038247,0.0006268949,0.0006440852,0.0006500836,0.0006375025,0.0005998665,0.0005199593,0.0003697763,0.0001653501,4.33719e-05,2.34281e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.025182e-08,6.949582e-08,1.505628e-06,1.022431e-05,2.572325e-05,3.887664e-05,4.881791e-05,5.584411e-05,6.22045e-05,6.726144e-05,7.111733e-05,7.249128e-05,7.268689e-05,7.339175e-05,7.707329e-05,8.201495e-05,8.200511e-05,6.809358e-05,3.611829e-05,-9.352247e-06,-5.644744e-05,-9.158002e-05,-0.0001057675,-9.645415e-05,-6.59668e-05,-1.758488e-05,4.447351e-05,0.0001160927,0.0001908666,0.0002606097,0.0003157308,0.0003492658,0.0003569492,0.0003389774,0.000298117,0.0002379559,0.0001599278,6.668282e-05,-3.721073e-05,-0.0001446578,-0.0002509198,-0.0003517823,-0.0004425316,-0.0005175032,-0.0005750917,-0.0006153495,-0.0006371335,-0.0006372701,-0.0006137527,-0.0005666951,-0.0005021109,-0.000430056,-0.0003572401,-0.000285923,-0.0002187909,-0.0001575556,-0.0001012295,-4.816824e-05,6.209732e-06,6.808298e-05,0.000144986,0.0002366782,0.0003351121,0.0004293011,0.0005125866,0.0005824548,0.0006408553,0.0006890775,0.0007306967,0.0007668584,0.0008015438,0.0008352083,0.0008675376,0.0008928103,0.0009050416,0.0008963966,0.0008609903,0.0007797268,0.0006133144,0.0003277221,7.761669e-05,2.607946e-05,2.135897e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.962448e-10,1.121121e-07,3.61858e-06,1.915586e-05,3.879994e-05,5.418184e-05,6.565279e-05,7.405158e-05,8.172113e-05,8.811319e-05,9.295416e-05,9.479606e-05,9.500741e-05,9.603463e-05,0.00010089,0.0001072516,0.0001066372,8.738667e-05,4.435137e-05,-1.613716e-05,-7.826534e-05,-0.0001243562,-0.0001426973,-0.0001302127,-8.985252e-05,-2.614978e-05,5.556488e-05,0.0001496339,0.0002478592,0.0003392698,0.0004117047,0.000455817,0.0004663655,0.0004431863,0.0003900882,0.0003113738,0.0002093882,8.728077e-05,-4.838398e-05,-0.0001887687,-0.000327291,-0.0004590074,-0.0005774598,-0.0006756573,-0.0007509362,-0.0008036668,-0.0008318194,-0.0008318505,-0.0008007702,-0.0007394491,-0.000655366,-0.0005620273,-0.0004674932,-0.0003753372,-0.000288464,-0.0002095094,-0.0001363545,-6.706658e-05,4.773744e-06,8.63768e-05,0.0001876422,0.0003074642,0.0004362456,0.0005587897,0.0006670589,0.0007571753,0.0008327317,0.0008954464,0.0009500337,0.0009970063,0.001042143,0.00108575,0.001129457,0.001163906,0.001182724,0.001176534,0.001143969,0.001068886,0.0009101785,0.0005945457,0.000173482,2.898482e-05,2.208077e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.965232e-08,2.51917e-07,8.58463e-06,3.050538e-05,5.308212e-05,7.068239e-05,8.358793e-05,9.352624e-05,0.000102446,0.0001103636,0.0001161294,0.0001186161,0.0001188002,0.0001204012,0.0001264289,0.0001343231,0.0001325089,0.0001070329,5.125071e-05,-2.576026e-05,-0.0001043903,-0.0001619549,-0.0001845602,-0.0001680492,-0.0001167736,-3.597976e-05,6.710184e-05,0.0001857131,0.0003090719,0.0004239249,0.0005147369,0.0005703108,0.0005837154,0.0005550169,0.0004884254,0.0003895528,0.0002612398,0.0001080955,-6.19642e-05,-0.0002376995,-0.0004111846,-0.0005759416,-0.0007240613,-0.0008469012,-0.0009412836,-0.001007253,-0.001042254,-0.001041819,-0.001002664,-0.0009260625,-0.0008215512,-0.0007057831,-0.0005887786,-0.0004748311,-0.0003675101,-0.0002697801,-0.0001788472,-9.223252e-05,-1.680099e-06,0.0001016127,0.000229538,0.0003800059,0.0005405302,0.0006927678,0.0008272476,0.0009393754,0.001033459,0.001110727,0.001178216,0.001236847,0.001294236,0.001349519,0.001403434,0.001445865,0.001470767,0.001467905,0.001438481,0.001367073,0.001220433,0.0009183665,0.0003958542,4.406429e-05,2.17175e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
